Gene symbol,Gene name,Hour(s) with a significant caste difference:,logFC at 2h,logFC at 4h,logFC at 6h,logFC at 8h
LOC100577648,uncharacterized LOC100577648,6,-0.32,-0.18,-0.48,-0.08
LOC411585,E3 ubiquitin-protein ligase NRDP1,"4, 6, 8",0.15,-0.46,-0.36,-0.39
LOC408902,F-box/LRR-repeat protein 16,8,0.15,0.36,0.12,0.42
Acph-1,venom acid phosphatase,8,0.29,-0.3,-0.16,-0.88
LOC411164,DNA-directed RNA polymerase III subunit RPC3,8,-0.04,-0.36,-0.28,-0.38
LOC410688,RNA-binding protein 5,8,0.07,-0.35,-0.16,-0.62
LOC413099,enhancer of mRNA-decapping protein 4,8,0.02,-0.34,-0.01,-0.73
LOC410055,probable tRNA(His) guanylyltransferase,6,-0.17,-0.19,-0.5,-0.19
LOC724129,pescadillo homolog,8,-0.19,-0.19,-0.2,-0.48
LOC100577250,zinc finger protein 845,8,0.27,-0.21,-0.1,-1.02
LOC726369,"peptidyl-tRNA hydrolase 2, mitochondrial","6, 8",-0.18,-0.24,-0.34,-0.3
LOC724437,adenomatous polyposis coli protein,8,0.17,-0.31,-0.29,-0.63
LOC100578041,uncharacterized LOC100578041,8,-0.21,0.14,0.37,0.75
LOC727189,geranylgeranyl pyrophosphate synthase,6,-0.15,-0.24,-0.42,-0.23
LOC411746,uncharacterized LOC411746,8,0.15,-0.25,-0.25,-0.71
LOC100576759,uncharacterized LOC100576759,8,0.13,-0.35,-0.22,-0.61
LOC409736,methylmalonate-semialdehyde dehydrogenase [acylating]-like protein,8,-0.05,0.25,0.24,0.61
LOC409610,rhotekin-2,"6, 8",-0.25,-0.18,-0.31,-0.31
LOC409782,pikachurin,4,0.08,0.55,0,0.41
LOC102654681,mitochondrial inner membrane protease subunit 2,8,0.2,-0.18,-0.24,-0.84
LOC413840,glucose-6-phosphate exchanger SLC37A2,"4, 6, 8",0.2,0.32,0.29,0.23
LOC107964343,serine/arginine repetitive matrix protein 1-like,8,0.08,0.23,0.27,0.46
LOC550987,soluble calcium-activated nucleotidase 1,"4, 6",-0.11,-0.36,-0.46,-0.11
LOC724731,kinesin 6B,8,-0.08,-0.29,-0.14,-0.54
LOC413181,mortality factor 4-like protein 1,8,-0.09,-0.3,-0.25,-0.4
LOC552223,dnaJ homolog shv,"6, 8",0.02,-0.24,-0.41,-0.42
LOC102654959,myb-like protein Q,4,0.27,0.5,0.38,-0.1
LOC551733,amyloid-beta-like protein,4,0.17,0.46,0.16,0.26
LOC100576722,uncharacterized LOC100576722,8,-0.09,0.42,0.15,0.57
LOC409852,transcription factor SPT20 homolog,6,0.07,0.22,0.59,0.17
LOC726134,carboxylesterase,8,0.08,-0.25,-0.26,-0.61
LOC100578548,uncharacterized LOC100578548,8,-0.1,0.36,0.34,0.44
LOC726740,ubiquitin-conjugating enzyme E2 T,6,-0.31,-0.24,-0.41,-0.09
LOC551208,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",8,0.03,0.29,0.23,0.49
LOC724772,leucine-rich repeat neuronal protein 1,8,0.05,0.2,0.25,0.55
LOC552823,"malonyl-CoA decarboxylase, mitochondrial",8,0.05,-0.41,-0.15,-0.53
LOC100578852,ribonucleases P/MRP protein subunit POP1,8,0.09,-0.33,-0.31,-0.49
LOC726235,lymphoid-specific helicase,8,-0.09,-0.26,-0.34,-0.37
LOC727263,chromobox protein homolog 5,8,-0.28,-0.15,-0.21,-0.4
LOC411795,Golgi to ER traffic protein 4 homolog,"4, 8",0.07,-0.39,-0.28,-0.45
LOC551689,nucleolar protein 6,8,0.06,-0.33,-0.19,-0.59
CytC,mitochondrial cytochrome C,6,-0.05,-0.3,-0.42,-0.27
LOC550968,"heat shock protein 75 kDa, mitochondrial","6, 8",-0.02,-0.23,-0.31,-0.48
LOC409311,zinc finger CCCH domain-containing protein 15 homolog,8,-0.17,-0.15,-0.19,-0.53
LOC551470,general transcription factor IIF subunit 2,6,-0.18,-0.24,-0.38,-0.24
LOC100576346,protein PFC0760c,8,0.15,-0.3,-0.09,-0.8
LOC724785,ran-binding protein 3,"4, 6",0.11,0.35,0.33,0.25
LOC411546,FGFR1 oncogene partner 2 homolog,6,-0.28,-0.22,-0.37,-0.16
LOC410451,venom serine carboxypeptidase,8,-0.16,0.17,0.26,0.76
LOC409154,sorting nexin-30,"6, 8",0,0.26,0.33,0.44
LOC408836,unc-112-related protein,8,0.19,0.11,0.33,0.41
LOC411280,GTP-binding protein 128up,"4, 6",-0.13,-0.34,-0.39,-0.17
LOC725085,basic helix-loop-helix neural transcription factor TAP,"6, 8",0.17,0.06,0.37,0.44
LOC413000,proton-coupled amino acid transporter-like protein pathetic,8,0.39,-0.34,-0.45,-0.62
LOC413384,leucine-rich repeat-containing protein 24,6,0.23,0.17,0.47,0.16
LOC100577344,gametocyte-specific factor 1,6,-0.19,-0.23,-0.47,-0.15
LOC727582,"tryptophan--tRNA ligase, cytoplasmic","6, 8",-0.17,-0.22,-0.37,-0.26
LOC409230,"arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2","4, 6",0.09,0.53,0.48,-0.07
LOC725936,titin homolog,"4, 8",0.01,0.47,0.12,0.44
LOC551817,putative peptidyl-prolyl cis-trans isomerase dodo,"6, 8",0.05,-0.22,-0.44,-0.42
LOC725673,ribonucleoside-diphosphate reductase large subunit,"6, 8",-0.13,-0.18,-0.29,-0.41
LOC409527,TBC domain-containing protein kinase-like protein,8,-0.08,-0.27,-0.22,-0.46
LOC725633,probable DNA-directed RNA polymerases I and III subunit RPAC2,6,-0.27,-0.15,-0.4,-0.21
LOC100577525,synergin gamma,8,0.21,-0.39,-0.1,-0.74
LOC409231,dipeptidase 1,8,0.09,0.23,0.15,0.55
LOC410517,extracellular serine/threonine protein CG31145,8,0.11,0.03,0.34,0.55
LOC726638,protein artemis,4,-0.14,-0.48,-0.31,-0.1
LOC725245,protein eiger,"6, 8",0.05,0.27,0.27,0.43
LOC726703,venom acid phosphatase Acph-1,4,-0.11,0.73,0.13,0.26
LOC413264,yellow-b,8,-0.26,0.17,0.45,0.65
LOC412897,E3 ubiquitin-protein ligase MYLIP,"6, 8",0.16,0.13,0.34,0.38
LOC102655485,uncharacterized LOC102655485,8,0.13,0.08,0.17,0.64
LOC102656846,cyclin-A2,"6, 8",0.07,-0.26,-0.34,-0.48
LOC726310,GPI ethanolamine phosphate transferase 1,"4, 8",-0.03,-0.35,-0.26,-0.38
LOC410289,paraplegin,8,-0.15,-0.26,-0.19,-0.42
LOC408443,uncharacterized LOC408443,4,-0.04,0.56,0.24,0.25
LOC411502,SPARC-related modular calcium-binding protein 1,8,0.02,-0.3,-0.27,-0.47
LOC102653741,uncharacterized LOC102653741,8,-0.01,0.29,0.24,0.5
LOC413336,ADP-dependent glucokinase,8,0.04,-0.34,-0.3,-0.42
LOC102656132,structure-specific endonuclease subunit slx1,"6, 8",-0.24,-0.13,-0.35,-0.29
LOC413562,rho guanine nucleotide exchange factor 17,8,0.16,0.25,0.21,0.4
LOC724540,probable galactose-1-phosphate uridylyltransferase,"6, 8",0.1,0.23,0.3,0.37
LOC411763,"DNA polymerase subunit gamma-1, mitochondrial",8,0.05,-0.31,-0.16,-0.59
LOC410960,myosin-IB,6,0.19,0.26,0.52,0.05
LOC412823,gamma-tubulin complex component 2,8,-0.04,-0.31,-0.26,-0.41
LOC413365,nucleoporin SEH1,"4, 6, 8",-0,-0.33,-0.38,-0.3
LOC409006,arrestin red cell,4,0.2,0.49,0.28,0.05
LOC550785,fructose-bisphosphate aldolase,"6, 8",0.14,0.12,0.46,0.29
LOC411704,guanine nucleotide-binding protein G(i) subunit alpha,"4, 6",-0,-0.35,-0.39,-0.27
LOC107965722,uncharacterized LOC107965722,8,0.01,0.38,0.09,0.52
LOC413950,"N-alpha-acetyltransferase 25, NatB auxiliary subunit",8,-0.04,-0.24,-0.24,-0.49
LOC411407,leucine-rich repeat-containing protein 47,8,-0.14,-0.34,-0.13,-0.4
LOC552163,"dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase","6, 8",-0.03,-0.26,-0.35,-0.37
LOC412663,laminin subunit alpha,8,0.19,-0.38,-0.19,-0.63
LOC102656014,uncharacterized LOC102656014,8,0.18,-0.2,-0.24,-0.74
LOC409550,eukaryotic translation initiation factor 3 subunit D,"6, 8",-0.13,-0.21,-0.33,-0.33
LOC410396,"isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial",8,0.06,-0.29,-0.22,-0.56
LOC100578370,protein inturned,8,-0.17,-0.18,-0.28,-0.37
LOC726789,40S ribosomal protein S26,8,-0.06,0.35,0.21,0.49
LOC102656814,uncharacterized LOC102656814,8,-0.08,0.37,0.15,0.57
LOC411918,nuclear pore complex protein Nup205,8,0.01,-0.19,-0.22,-0.6
LOC552254,uncharacterized protein F21D5.5,8,-0.04,0.26,0.32,0.45
LOC727192,structural maintenance of chromosomes protein 6,8,-0.15,-0.07,-0.29,-0.48
LOC408957,uncharacterized LOC408957,6,0.06,0.31,0.39,0.24
LOC409408,nuclear valosin-containing protein-like,8,-0.13,-0.17,-0.22,-0.48
LOC408755,probable DNA replication complex GINS protein PSF2,6,-0.18,-0.3,-0.35,-0.17
LOC412267,dynactin subunit 2,8,-0.25,-0.18,-0.3,-0.27
LOC725860,synaptotagmin 13,4,0.17,0.34,0.25,0.24
LOC413204,tropomyosin-2,8,-0.16,0.08,0.19,0.9
LOC727501,gonadal protein gdl,6,-0.12,-0.26,-0.46,-0.16
LOC100576487,apoptosis regulatory protein Siva,6,-0.19,-0.17,-0.45,-0.19
LOC724648,N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase,6,-0.18,-0.24,-0.43,-0.14
LOC100577481,protein arginine N-methyltransferase 9,8,0.06,-0.29,-0.16,-0.6
LOC412036,exocyst complex component 3,8,0.09,-0.18,-0.32,-0.58
LOC726899,death-associated inhibitor of apoptosis 1,6,-0.13,-0.26,-0.38,-0.22
LOC413579,"endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",8,-0,-0.23,-0.24,-0.51
LOC412762,heparan-sulfate 6-O-sulfotransferase 1-B,8,0.04,-0.2,-0.23,-0.6
LOC412638,kinesin 3C,8,-0.03,-0.28,-0.19,-0.49
LOC102654773,zinc finger protein 664,8,0.1,0.3,0.24,0.36
LOC552082,vinculin,8,0.24,-0.37,-0.05,-0.81
LOC552623,vacuolar fusion protein CCZ1 homolog,6,-0.19,-0.29,-0.3,-0.21
LOC408625,nuclear pore complex protein Nup85,"6, 8",-0.05,-0.26,-0.38,-0.3
LOC409088,uncharacterized LOC409088,6,-0.17,-0.22,-0.46,-0.14
LOC410395,chromobox protein homolog 1,"6, 8",-0.04,-0.15,-0.32,-0.48
LOC410105,"alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",8,-0.05,-0.32,-0.24,-0.38
LOC408734,"succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",8,-0.04,0.43,0.04,0.55
LOC411923,"alanine--tRNA ligase, cytoplasmic",8,0.02,-0.36,-0.08,-0.57
LOC726025,uncharacterized LOC726025,8,-0.09,-0.29,-0.09,-0.51
LOC102655306,uncharacterized LOC102655306,8,0.15,0,0.34,0.49
LOC100577941,uncharacterized LOC100577941,8,0.22,-0.22,-0.35,-0.64
LOC412929,androgen-induced gene 1 protein,"4, 6, 8",0,-0.39,-0.29,-0.31
LOC550808,WD repeat-containing protein 75,8,-0.08,-0.22,-0.13,-0.56
LOC100576563,growth factor receptor-bound protein 14,8,-0.13,0.26,0.26,0.6
LOC551109,kinesin 5A,8,-0.1,-0.12,-0.26,-0.52
LOC727251,DNA polymerase delta small subunit,"4, 6",-0.12,-0.35,-0.34,-0.17
LOC551834,large subunit GTPase 1 homolog,8,-0.04,-0.3,-0.17,-0.48
LOC550903,"arginine--tRNA ligase, cytoplasmic",8,-0.14,-0.21,-0.17,-0.47
LOC113219326,uncharacterized LOC113219326,8,-0.09,0.4,0.01,0.66
LOC100578269,uncharacterized LOC100578269,8,-0.3,0.2,0.23,0.86
LOC552707,protein CDV3 homolog,8,0.06,-0.35,-0.21,-0.49
LOC551570,leucine-rich melanocyte differentiation-associated protein,"4, 6, 8",0.07,-0.3,-0.41,-0.34
LOC411627,retinoblastoma-like protein 1,8,0.08,-0.32,-0.3,-0.44
LOC726488,ubiquitin carboxyl-terminal hydrolase 10,8,0.17,-0.41,-0.07,-0.66
LOC410385,methionine aminopeptidase 1,8,-0.02,0.19,0.23,0.58
LOC725642,probable ATP-dependent RNA helicase DDX10,8,-0.15,-0.23,-0.12,-0.48
LOC413672,hexosaminidase D,8,0.14,-0.38,-0.06,-0.68
LOC550935,splicing factor 3B subunit 3,"4, 8",0.07,-0.39,-0.24,-0.42
LOC409498,kinase suppressor of Ras 2,8,0.1,0.18,0.28,0.42
LOC411711,integrator complex subunit 6,"6, 8",0.04,-0.2,-0.38,-0.44
LOC107964225,uncharacterized LOC107964225,8,-0.27,0.09,0.28,0.88
LOC724762,ras-related protein Rab-28,6,0.02,0.12,0.48,0.36
LOC551273,lysosomal Pro-X carboxypeptidase,"6, 8",-0.23,-0.13,-0.33,-0.29
LOC552150,uncharacterized LOC552150,8,0.04,-0.39,-0.13,-0.5
LOC725326,tRNA pseudouridine synthase-like 1,6,-0.08,-0.21,-0.41,-0.28
LOC412067,cysteine and histidine-rich domain-containing protein,"6, 8",0.14,-0.27,-0.48,-0.37
LOC724926,DNA polymerase alpha subunit B,"6, 8",-0.11,-0.22,-0.39,-0.27
LOC409712,"short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",8,0.09,0.25,0.16,0.48
LOC725756,beta-galactosidase,8,0.07,0.17,0.21,0.53
LOC725835,DNA polymerase epsilon subunit 4,6,-0.26,-0.24,-0.39,-0.08
LOC102654520,putative uncharacterized protein DDB_G0282133,8,-0.11,0.33,0.32,0.43
LOC551546,BAG family molecular chaperone regulator 2,"4, 6, 8",0.04,-0.35,-0.31,-0.36
LOC725287,sulfhydryl oxidase 1,8,0.11,-0.2,-0.25,-0.63
LOC102656093,probable ATP-dependent RNA helicase DDX55 homolog,8,-0.19,-0.1,-0.21,-0.47
LOC411268,uncharacterized LOC411268,8,-0.04,-0.3,-0.18,-0.45
LOC552553,huntingtin-interacting protein K,6,-0.17,-0.14,-0.4,-0.27
LOC724326,peptidyl-prolyl cis-trans isomerase,8,0.05,0.27,0.21,0.44
LOC413655,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial","4, 6, 8",-0.08,-0.3,-0.36,-0.23
LOC552392,serine palmitoyltransferase 1,8,-0.15,-0.27,-0.26,-0.3
INTS8,integrator complex subunit 8,"6, 8",-0.07,-0.28,-0.29,-0.33
LOC409191,SUMO-activating enzyme subunit 2,8,-0.01,-0.19,-0.27,-0.5
LOC413173,THO complex subunit 3,"6, 8",-0.05,-0.24,-0.3,-0.39
LOC413245,RNA exonuclease 4,6,-0.24,-0.21,-0.33,-0.19
LOC412059,F-box only protein 11,8,0.11,-0.23,-0.2,-0.66
LOC551550,probable 26S proteasome non-ATPase regulatory subunit 3,"6, 8",-0.15,-0.21,-0.35,-0.27
LOC726312,receptor-binding cancer antigen expressed on SiSo cells,"4, 8",-0.06,-0.28,-0.24,-0.39
LOC100578132,glutamate--cysteine ligase catalytic subunit,"4, 8",0.11,-0.41,-0.28,-0.39
LOC724356,RING finger protein 17,8,-0.08,-0.31,-0.16,-0.42
LOC411095,zinc transporter 7,"4, 8",0.01,-0.38,-0.22,-0.38
LOC726069,atrial natriuretic peptide receptor 1,8,0,0.15,0.37,0.44
LOC724740,fork head domain transcription factor slp2,8,-0.08,0.37,0.15,0.52
LOC411856,U3 small nucleolar ribonucleoprotein protein IMP4,6,-0.14,-0.31,-0.36,-0.15
LOC408652,protein suppressor of white apricot,"6, 8",0,0.24,0.33,0.39
LOC412097,AP-3 complex subunit delta-1,8,0.13,-0.26,-0.14,-0.7
LOC552180,"cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial",6,-0.22,-0.25,-0.3,-0.19
LOC409822,enhancer of split m7 protein,8,-0.19,0.27,0.12,0.77
LOC408936,RNA-binding protein squid,"4, 6, 8",0.02,-0.34,-0.3,-0.34
Lin-52,lin-52 protein,6,-0.16,-0.19,-0.52,-0.09
LOC113218554,zinc finger protein 708-like,8,0.1,-0.38,-0.03,-0.66
LOC410864,nuclear pore complex protein Nup50,8,-0.09,-0.15,-0.22,-0.51
LOC552093,methyltransferase-like protein 2-A,6,-0.2,-0.26,-0.33,-0.17
LOC409856,guanine nucleotide-releasing factor 2,8,0.07,-0.17,-0.05,-0.82
LOC726834,mitochondrial inner membrane protease ATP23 homolog,"6, 8",-0.09,-0.2,-0.4,-0.27
LOC411958,TWiK family of potassium channels protein 18,8,0.07,-0.15,-0.23,-0.65
LOC409085,guanine nucleotide exchange factor for Rab-3A,8,0.2,-0.33,-0.26,-0.57
LOC551582,maternal protein exuperantia,6,0.11,-0.29,-0.52,-0.26
LOC411100,FGGY carbohydrate kinase domain-containing protein,"6, 8",0.09,0.12,0.29,0.46
LOC551279,zinc finger CCCH domain-containing protein 11A,8,0.37,-0.47,-0.18,-0.67
LOC725734,RNA-binding protein pno1,8,-0.09,-0.23,-0.25,-0.39
LOC412209,probable cytochrome P450 6a17,8,-0.18,0.1,-0.39,-0.49
LOC408580,eukaryotic translation initiation factor 2D,8,0.08,-0.34,-0.27,-0.43
LOC412712,anaphase-promoting complex subunit 7,"6, 8",0.01,-0.17,-0.32,-0.48
LOC724680,uncharacterized LOC724680,8,-0.08,-0.18,-0.3,-0.4
LOC100578526,solute carrier family 35 member E2,"6, 8",-0.1,-0.17,-0.41,-0.28
LOC551133,methyltransferase-like protein 6,"6, 8",0.13,0.18,0.37,0.27
LOC551938,elongation of very long chain fatty acids protein AAEL008004,8,0.28,0.04,0.27,0.37
LOC412835,uncharacterized LOC412835,"4, 6, 8",0.08,-0.38,-0.37,-0.28
LOC551270,integrator complex subunit 9,"4, 6, 8",-0.06,-0.26,-0.33,-0.31
LOC726081,mitochondrial import receptor subunit TOM70,"4, 6, 8",-0.02,-0.38,-0.27,-0.29
LOC551796,cationic amino acid transporter 4,8,0.16,0.18,0.21,0.41
LOC727222,serine/threonine-protein phosphatase 4 regulatory subunit 2,8,-0.01,-0.28,-0.15,-0.52
LOC102654085,uncharacterized LOC102654085,4,0.39,1.18,-0.67,0.06
LOC100576938,centromere protein L,"6, 8",-0.18,-0.06,-0.37,-0.34
LOC413705,acidic mammalian chitinase,8,0.18,0.08,0.17,0.53
LOC409294,60S ribosomal protein L23,8,-0.01,0.24,0.21,0.52
LOC413926,sentrin-specific protease 1,8,-0.08,-0.26,-0.23,-0.39
LOC409734,nuclear pore glycoprotein p62,"6, 8",-0.12,-0.17,-0.38,-0.27
LOC411155,teneurin-a,4,0.4,0.38,0.26,-0.08
LOC100577704,uncharacterized LOC100577704,8,-0.1,0.32,-0.03,0.76
LOC413368,uncharacterized LOC413368,8,0.33,-0.19,-0.35,-0.75
LOC100578833,putative leucine-rich repeat-containing protein DDB_G0290503,8,-0.16,-0.13,-0.18,-0.48
LOC724455,T-complex protein 11-like protein 1,8,-0.01,-0.26,-0.13,-0.55
LOC551677,wee1-like protein kinase,8,0.42,-0.46,-0.04,-0.87
LOC102655490,uncharacterized LOC102655490,8,0.2,-0.2,0.01,0.93
LOC411080,serine/threonine-protein kinase greatwall,"4, 6, 8",0.01,-0.32,-0.25,-0.38
LOC410779,neuroligin 2,8,0.04,0.28,0.14,0.49
LOC725747,SNAPIN protein homolog,"4, 8",-0.11,-0.36,-0.18,-0.29
LOC551005,hexokinase type 2,"4, 6",0.02,0.5,0.44,-0.02
LOC727210,"single-stranded DNA-binding protein, mitochondrial",6,-0.35,-0.1,-0.37,-0.12
LOC724795,WASH complex subunit 1,8,0.09,0.27,0.28,0.31
LOC410263,transmembrane GTPase Marf,"4, 8",0.08,-0.37,-0.25,-0.4
LOC724269,connectin,8,0.35,-0.27,-0.17,-0.85
LOC411837,putative deoxyribonuclease TATDN1,"4, 6, 8",-0.08,-0.3,-0.31,-0.25
LOC552847,ubiquitin domain-containing protein 1,8,0.13,-0.44,-0.04,-0.6
LOC412247,"rRNA methyltransferase 2, mitochondrial","6, 8",-0.28,-0.02,-0.35,-0.29
FAR1,fatty acyl-CoA reductase 1,8,-0.04,-0.2,-0.15,-0.55
LOC414012,sodium/hydrogen exchanger 8,8,-0.02,-0.3,-0.25,-0.37
LOC413344,exportin-5,8,0.25,-0.43,-0.26,-0.51
LOC724724,ATP-dependent 6-phosphofructokinase,6,0.18,0.16,0.39,0.22
LOC409925,dual specificity mitogen-activated protein kinase kinase dSOR1,8,0.26,-0.51,-0.06,-0.63
LOC410344,ubiquitin carboxyl-terminal hydrolase CYLD,8,0.08,-0.23,-0.22,-0.57
LOC725024,autophagy-related protein 16-1,8,-0.11,-0.25,-0.27,-0.32
LOC107965253,uncharacterized LOC107965253,8,-0.04,0.41,0.12,0.46
LOC413091,serrate RNA effector molecule homolog,8,-0.17,-0.18,-0.21,-0.38
LOC100578159,zinc finger matrin-type protein CG9776,8,-0,-0.27,-0.1,-0.57
LOC410863,protein lin-9 homolog,8,-0.04,-0.25,-0.26,-0.39
LOC410486,40S ribosomal protein SA,8,-0.11,0.27,0.13,0.65
LOC100576333,nucleoredoxin,8,0.2,0.23,0.08,0.43
LOC100577932,uncharacterized LOC100577932,6,0.13,-0.12,-0.62,-0.33
LOC113218539,galectin-8-like,"4, 6, 8",0.02,-0.32,-0.4,-0.23
LOC411989,eukaryotic initiation factor 4A-I,8,0.12,0.19,0.25,0.38
LOC102653961,acidic repeat-containing protein,8,-0.05,-0.22,-0.19,-0.48
LOC410050,mitotic checkpoint protein BUB3,"6, 8",-0.19,-0.13,-0.38,-0.25
LOC551551,pre-mRNA-splicing factor Slu7,8,-0.14,-0.1,-0.17,-0.53
LOC552848,MMS19 nucleotide excision repair protein homolog,8,0.02,-0.37,-0.22,-0.37
LOC411541,glycerate kinase,8,-0.02,-0.18,-0.12,-0.61
LOC727027,cleft lip and palate transmembrane protein 1 homolog,8,-0.03,-0.28,-0.24,-0.37
LOC411600,PAX-interacting protein 1,8,0.15,0.25,0.24,0.3
LOC100578522,peroxisomal biogenesis factor 19,"6, 8",-0.05,-0.29,-0.31,-0.28
LOC551721,V-type proton ATPase subunit B,"4, 6, 8",-0.02,-0.32,-0.26,-0.33
LOC726326,DNA repair protein XRCC3-like,6,-0.17,-0.25,-0.36,-0.16
LOC552236,threonine aspartase 1,8,-0.1,-0.21,-0.32,-0.31
LOC726227,DNA primase small subunit,6,-0.18,-0.05,-0.48,-0.23
LOC552694,tyrosine-protein phosphatase non-receptor type 5,4,0.06,0.41,0.25,0.21
LOC102654734,uncharacterized LOC102654734,6,0.22,0.3,-1.43,-0.03
LOC411674,transcription factor RFX3,8,0.33,-0.31,-0.11,-0.84
LOC412676,protein mahjong,8,0.02,-0.32,-0.14,-0.49
LOC725038,NPC intracellular cholesterol transporter 2 homolog a,8,-0.18,0.33,0.12,0.65
LOC100577577,peritrophin-1,8,-0.09,0.2,0.25,0.58
LOC411808,"proline dehydrogenase, mitochondrial",8,0.03,-0.25,-0.26,-0.45
LOC410037,dnaJ homolog subfamily C member 7,8,0.11,-0.26,-0.12,-0.66
LOC724594,ADP-ribosylation factor-like protein 4C,8,0.31,-0.43,-0.16,-0.65
LOC100577542,uncharacterized LOC100577542,8,-0.28,0.11,0.41,0.69
LOC413889,cytoplasmic tRNA 2-thiolation protein 1,6,-0.13,-0.21,-0.48,-0.11
LOC412721,nuclear pore complex protein Nup155,8,-0.02,-0.22,-0.17,-0.51
LOC551205,neutral alpha-glucosidase AB,8,0.12,-0.27,-0.17,-0.61
LOC725584,TBC1 domain family member 7,6,-0.25,-0.26,-0.39,-0.03
LOC409529,ras-like protein 2,"6, 8",-0.06,0.26,0.33,0.4
LOC411879,WD repeat-containing protein 82,"4, 8",0.32,-0.48,-0.28,-0.48
LOC724656,RNA cytidine acetyltransferase,8,-0.1,-0.24,-0.12,-0.46
LOC409540,MOB kinase activator-like 1,8,-0.12,-0.27,-0.18,-0.36
LOC413166,myb-like protein D,8,0.22,-0.28,0.08,-0.95
LOC410154,uncharacterized LOC410154,8,0,0.08,0.34,0.5
LOC412601,mothers against decapentaplegic homolog 3,8,0.1,0.2,0.25,0.36
LOC100578653,"twinkle protein, mitochondrial",8,-0.22,-0.12,-0.2,-0.39
LOC552256,peroxisomal membrane protein PEX14,"4, 6, 8",-0.14,-0.3,-0.27,-0.21
LOC100577823,uncharacterized LOC100577823,6,-0.32,-0.2,-0.36,-0.05
LOC726681,formin-2,8,-0.19,0.25,0.25,0.62
LOC409908,tyrosine-protein kinase CSK,8,-0.03,0.29,0.17,0.49
LOC102654652,uncharacterized LOC102654652,8,-0.73,0.52,0.21,0.93
LOC100578839,uncharacterized LOC100578839,6,-0.16,-0.06,-0.47,-0.24
LOC725661,uncharacterized LOC725661,8,0.04,-0.37,-0.16,-0.43
LOC551859,calmodulin,8,0.19,-0.36,-0.15,-0.6
LOC725212,lysM and putative peptidoglycan-binding domain-containing protein 3,4,0.06,-0.42,-0.28,-0.28
LOC412406,PH-interacting protein,8,0.21,-0.14,-0.12,-0.88
LOC408896,semaphorin-2A,6,-0.14,-0.08,-0.49,-0.21
LOC411995,dual specificity protein phosphatase CDC14AB,8,0.31,-0.29,-0.06,-0.87
LOC724481,uncharacterized LOC724481,"6, 8",0.16,0.11,0.29,0.36
LOC411121,WD repeat-containing protein 48,8,0.1,-0.33,-0.23,-0.45
LOC408384,transcriptional adapter 2-alpha,"6, 8",-0.07,-0.13,-0.44,-0.27
LOC107964437,THAP domain-containing protein 4,6,-0.26,-0.12,-0.42,-0.12
LOC412696,TIP41-like protein,6,-0.21,-0.28,-0.36,-0.06
LOC724587,nucleotide exchange factor SIL1,8,0.02,-0.25,-0.28,-0.41
LOC411172,tetratricopeptide repeat protein 5,8,-0.01,-0.16,-0.31,-0.44
LOC409177,kinase D-interacting substrate of 220 kDa,6,0.19,0.3,0.55,-0.12
LOC725696,RNA polymerase-associated protein Rtf1,8,0.2,-0.28,-0.04,-0.79
LOC727520,uncharacterized LOC727520,8,-0.14,-0.23,-0.18,-0.37
LOC724537,ubiquitin carboxyl-terminal hydrolase 36,8,0.06,-0.35,-0.18,-0.45
LOC726314,"protein SCO2 homolog, mitochondrial",6,-0.22,-0.27,-0.39,-0.03
LOC100578193,uncharacterized LOC100578193,8,-0.15,0.3,0.14,0.62
LOC409941,zinc finger FYVE domain-containing protein 1,"6, 8",0.09,0.15,0.36,0.31
LOC551881,ATP-dependent helicase brm,8,-0.04,-0.22,-0.02,-0.63
LOC725485,regulator of G-protein signaling 11,"4, 6",0.01,0.36,0.3,0.25
LOC413815,"CCA tRNA nucleotidyltransferase 1, mitochondrial",8,-0.13,-0.2,-0.28,-0.31
LOC413503,TWiK family of potassium channels protein 18-like,4,0.19,0.59,0.04,0.09
LOC726983,geranylgeranyl transferase type-2 subunit alpha,8,0.03,-0.39,-0.01,-0.55
LOC100576663,uncharacterized LOC100576663,8,0.06,-0.25,-0.05,-0.67
LOC552327,UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase,6,-0.25,-0.16,-0.36,-0.14
LOC552200,probable histone-binding protein Caf1,"4, 6, 8",0.01,-0.24,-0.34,-0.34
LOC726077,putative ATP-dependent RNA helicase DHX30,8,-0,-0.35,-0.07,-0.48
LOC102655670,PCNA-associated factor,6,-0.2,-0.21,-0.46,-0.04
LOC413388,histone-lysine N-methyltransferase EHMT2,8,0.17,-0.45,-0.01,-0.62
