Gene symbol,Gene name,Significant temporal comparisons:,logFC: 0 vs 2h,logFC: 0 vs 4h,logFC: 0 vs 6h,logFC: 0 vs 8h,logFC: 2 vs 4h,logFC: 2 vs 6h,logFC: 2 vs 8h,logFC: 4 vs 6h,logFC: 4 vs 8h,logFC: 6 vs 8h
LOC100578696,uncharacterized LOC100578696,0 vs 2; 2 vs 8,-0.4,-0.38,-0.3,-0.36,0.02,0.09,0.04,0.08,0.02,-0.35
LOC107964103,uncharacterized LOC107964103,0 vs 2; 2 vs 8,0.85,0.66,0.84,0.69,-0.19,-0.01,-0.15,0.18,0.04,0.42
LOC725023,mediator of RNA polymerase II transcription subunit 26,0 vs 2; 2 vs 8,0.48,0.25,0.12,0.17,-0.24,-0.36,-0.31,-0.12,-0.08,0.24
LOC107964221,uncharacterized LOC107964221,0 vs 2; 2 vs 8,1.02,0.93,0.91,0.94,-0.08,-0.11,-0.08,-0.03,0.01,0.08
LOC107964278,uncharacterized LOC107964278,0 vs 2; 2 vs 8,1.85,2,2.58,2.85,0.15,0.73,1,0.58,0.85,-1.19
LOC726871,synaptic vesicle glycoprotein 2B,0 vs 2; 2 vs 8,1.74,1.46,1.52,1.05,-0.28,-0.22,-0.7,0.05,-0.42,-0.52
LOC107964909,uncharacterized LOC107964909,0 vs 2; 2 vs 8,0.64,0.93,0.9,0.8,0.29,0.26,0.16,-0.03,-0.13,0.01
LOC100576799,uncharacterized LOC100576799,0 vs 2; 2 vs 8,-0.25,-0.38,-0.59,-0.52,-0.13,-0.35,-0.28,-0.22,-0.14,0.25
LOC409707,zwei Ig domain protein zig-8,0 vs 2; 2 vs 8,0.77,0.6,0.7,0.9,-0.17,-0.07,0.13,0.1,0.3,0.04
LOC102655174,uncharacterized LOC102655174,0 vs 2; 2 vs 8,0.85,0.62,0.64,0.6,-0.23,-0.22,-0.25,0.02,-0.02,0.39
LOC113219271,uncharacterized LOC113219271,0 vs 2; 2 vs 8,0.61,0.31,0.31,0.29,-0.3,-0.3,-0.32,0,-0.02,0.42
LOC413309,uncharacterized LOC413309,0 vs 2; 2 vs 8,-0.37,-0.05,-0.15,-0.45,0.32,0.22,-0.08,-0.1,-0.4,-0.62
LOC412476,BTB/POZ domain-containing protein 9,0 vs 2; 2 vs 8,0.39,0.24,0.1,0.03,-0.15,-0.29,-0.36,-0.14,-0.22,0.33
LOC102655034,calcium and integrin-binding family member 3,0 vs 2; 2 vs 8,0.51,0.46,0.45,0.54,-0.05,-0.06,0.03,-0,0.08,0.13
LOC100578017,uncharacterized LOC100578017,0 vs 2; 2 vs 8,1.1,0.83,0.96,0.92,-0.27,-0.13,-0.18,0.14,0.09,0.07
LOC102655188,zinc finger protein 2 homolog,0 vs 2; 2 vs 8,0.55,0.51,0.31,0.27,-0.03,-0.24,-0.28,-0.21,-0.24,0.33
LOC409322,uncharacterized LOC409322,0 vs 2; 2 vs 8,0.2,0.06,0.07,0.05,-0.14,-0.13,-0.15,0.01,-0.01,0.16
LOC413204,tropomyosin-2,0 vs 2; 2 vs 8,0.54,0.45,0.5,0.77,-0.09,-0.04,0.23,0.05,0.32,0.2
LOC725127,uncharacterized LOC725127,0 vs 2; 2 vs 8,0.37,0.15,0.35,0.37,-0.22,-0.01,0.01,0.21,0.23,0.17
LOC413239,vacuolar protein sorting-associated protein 26B-like,0 vs 2; 2 vs 8,-0.05,-0.09,-0.01,-0.05,-0.04,0.05,0,0.09,0.04,-0.27
LOC552373,dolichyldiphosphatase 1,0 vs 2; 2 vs 8,-0.42,-0.4,-0.62,-0.49,0.02,-0.2,-0.07,-0.22,-0.09,0.26
LOC552183,phosphatidylinositol transfer protein alpha isoform,0 vs 2; 2 vs 8,-0.16,-0.28,-0.2,-0.21,-0.11,-0.04,-0.05,0.08,0.07,-0.07
LOC411858,ATPase family AAA domain-containing protein 1-B,0 vs 2; 2 vs 8,-0.24,-0.26,-0.2,-0.22,-0.03,0.03,0.02,0.06,0.05,-0.13
LOC412960,receptor-type tyrosine-protein phosphatase kappa,0 vs 4; 0 vs 6,-0.6,-0.34,-0.9,-0.59,0.26,-0.3,0.01,-0.56,-0.25,0.16
LOC410352,chromatin-remodeling ATPase INO80,0 vs 4; 0 vs 6,-0.1,-0.01,0.01,-0.2,0.09,0.12,-0.09,0.02,-0.19,-0.24
LOC100577548,tubulin beta chain,0 vs 4; 0 vs 6,0.72,0.79,0.65,0.82,0.07,-0.06,0.1,-0.13,0.03,0.05
LOC413179,mediator of RNA polymerase II transcription subunit 7,0 vs 4; 0 vs 6,0.31,0.34,0.22,0.3,0.03,-0.08,-0.01,-0.12,-0.04,0.07
LOC725093,phosphofurin acidic cluster sorting protein 2,0 vs 4; 0 vs 8,-0.6,-0.66,-0.96,-1.05,-0.06,-0.35,-0.45,-0.29,-0.38,0.6
LOC102653763,adenylate cyclase type 10-like,0 vs 4; 0 vs 8,-0.46,-0.55,-0.56,-0.68,-0.09,-0.1,-0.22,-0.01,-0.13,0.2
LOC411095,zinc transporter 7,0 vs 4; 0 vs 8,0.16,-0.03,-0,-0.07,-0.2,-0.16,-0.23,0.03,-0.04,0.16
LOC411585,E3 ubiquitin-protein ligase NRDP1,0 vs 4; 0 vs 8,0.28,-0.05,-0.13,-0.07,-0.32,-0.4,-0.34,-0.08,-0.02,0.26
LOC102655339,uncharacterized LOC102655339,0 vs 4; 0 vs 8,0.52,0.82,0.59,0.39,0.31,0.07,-0.13,-0.23,-0.44,-0.11
LOC726235,lymphoid-specific helicase,0 vs 4; 0 vs 8,0.3,0.2,0.02,0.01,-0.1,-0.28,-0.29,-0.18,-0.2,0.37
LOC411297,insulin-like peptide receptor,0 vs 4; 0 vs 8,-0.19,0.24,-0.18,-0.07,0.44,0.01,0.12,-0.43,-0.31,-0.01
LOC102656747,uncharacterized LOC102656747,0 vs 4; 0 vs 8,-0.01,0.24,-0.14,0.6,0.25,-0.12,0.61,-0.38,0.36,-0.74
LOC409222,cyclin G,0 vs 4; 0 vs 8,0.47,0.48,0.42,0.46,0.01,-0.05,-0.01,-0.06,-0.02,-0.17
LOC410747,"glucose dehydrogenase [FAD, quinone]",0 vs 6; 0 vs 8,-0.1,0.19,0.49,0.82,0.28,0.59,0.92,0.3,0.64,-0.39
LOC409277,acidic phospholipase A2 PA4,0 vs 6; 0 vs 8,-0.64,-1.17,-2.01,-2.42,-0.53,-1.38,-1.79,-0.84,-1.25,1.28
LOC113219006,transmembrane protease serine 9-like,0 vs 6; 0 vs 8,0.82,1.2,2.01,2.03,0.38,1.2,1.21,0.82,0.83,-0.98
LOC726231,GRB2-associated-binding protein 2,0 vs 6; 0 vs 8,0.46,0.68,0.91,0.91,0.22,0.45,0.45,0.23,0.23,-0.61
LOC412863,histone demethylase UTY,0 vs 6; 0 vs 8,-0.47,-0.3,-0.82,-0.87,0.17,-0.35,-0.4,-0.52,-0.57,0.38
LOC410368,cadherin-23,0 vs 6; 0 vs 8,0.43,0.7,0.92,0.94,0.27,0.49,0.51,0.22,0.24,-0.24
LOC726438,centrosomal protein of 97 kDa,0 vs 6; 0 vs 8,-0.52,-0.63,-0.64,-1.07,-0.11,-0.12,-0.55,-0.01,-0.44,0.14
LOC408710,"KH domain-containing, RNA-binding, signal transduction-associated protein 2",0 vs 6; 0 vs 8,-0.05,0.11,-0.16,-0.37,0.16,-0.12,-0.33,-0.28,-0.48,-0.01
LOC412430,major facilitator superfamily domain-containing protein 6,0 vs 6; 0 vs 8,0.02,0.11,0.28,0.39,0.09,0.26,0.36,0.17,0.27,-0.08
LOC552558,uncharacterized LOC552558,0 vs 6; 0 vs 8,3,4.97,7.37,7.33,1.97,4.37,4.33,2.4,2.36,-4.65
LOC725125,coiled-coil domain-containing protein 85C,0 vs 6; 0 vs 8,0.8,1.17,1.51,1.35,0.36,0.7,0.54,0.34,0.18,-0.71
LOC408405,uncharacterized LOC408405,0 vs 6; 0 vs 8,0.29,0.62,0.91,1.01,0.32,0.62,0.72,0.29,0.4,-0.4
LOC412443,regulator of microtubule dynamics protein 1,0 vs 6; 0 vs 8,-0.1,0.12,0.06,0.26,0.23,0.16,0.36,-0.07,0.13,0.21
LOC410452,carboxypeptidase B,0 vs 6; 0 vs 8,0.99,1.93,2.97,3.18,0.94,1.98,2.19,1.04,1.25,-1.46
LOC724477,vitamin K-dependent protein C,0 vs 6; 0 vs 8,0.7,1.16,1.64,1.75,0.46,0.94,1.05,0.48,0.59,-0.77
LOC411317,CG1567-like,0 vs 6; 0 vs 8,0.92,2.04,3,3.06,1.12,2.08,2.14,0.96,1.02,-1.49
LOC410606,"protein Skeletor, isoforms B/C",0 vs 6; 0 vs 8,0.33,0.46,0.97,1.18,0.13,0.63,0.84,0.51,0.72,-0.57
LOC726365,uncharacterized LOC726365,0 vs 6; 0 vs 8,-0.34,-0.38,-0.36,-0.51,-0.04,-0.03,-0.17,0.02,-0.13,0.03
LOC410515,uncharacterized LOC410515,0 vs 6; 0 vs 8,0.9,1.69,2.54,2.36,0.8,1.65,1.46,0.85,0.67,-1.42
LOC408317,uncharacterized LOC408317,0 vs 6; 0 vs 8,0.9,1.5,1.94,1.98,0.6,1.04,1.08,0.44,0.48,-0.71
LOC725754,zinc finger protein castor homolog 1,0 vs 6; 0 vs 8,-0.43,-0.47,-0.85,-0.8,-0.04,-0.42,-0.37,-0.38,-0.33,0.35
LOC100578744,uncharacterized LOC100578744,0 vs 6; 0 vs 8,0.9,1.94,2.66,2.78,1.04,1.76,1.88,0.72,0.84,-1.38
LOC412767,protein takeout,0 vs 6; 0 vs 8,1.27,2.23,3.48,3.55,0.96,2.22,2.28,1.25,1.32,-1.82
LOC724569,uncharacterized LOC724569,0 vs 6; 0 vs 8,0.99,1.35,2.35,2.66,0.36,1.36,1.67,1,1.31,-1.4
LOC408955,"4-aminobutyrate aminotransferase, mitochondrial",0 vs 6; 0 vs 8,0.45,0.69,1.19,1.37,0.24,0.73,0.92,0.49,0.68,-0.84
LOC100577151,uncharacterized LOC100577151,0 vs 6; 0 vs 8,-0.14,-0.64,-0.31,-0.69,-0.51,-0.17,-0.55,0.34,-0.05,-0.1
LOC100577363,uncharacterized LOC100577363,0 vs 6; 0 vs 8,0.41,0.51,0.81,0.77,0.1,0.4,0.36,0.3,0.25,-0.28
LOC724178,uncharacterized LOC724178,0 vs 6; 0 vs 8,1.43,1.57,1.65,1.35,0.14,0.22,-0.08,0.09,-0.22,-0.9
LOC412791,flocculation protein FLO11,0 vs 6; 0 vs 8,0.87,1.37,2,1.88,0.5,1.13,1.01,0.63,0.51,-0.89
LOC409143,venom serine protease 34,0 vs 6; 0 vs 8,1.29,1.67,1.86,2.07,0.38,0.57,0.78,0.19,0.4,-0.17
LOC413366,homeobox protein SIX1,0 vs 6; 0 vs 8,-0.26,-0.18,-0.26,-0.29,0.09,0,-0.02,-0.09,-0.11,-0
LOC411986,uncharacterized LOC411986,0 vs 6; 0 vs 8,-0.32,-0.29,-0.64,-0.82,0.03,-0.32,-0.49,-0.35,-0.52,0.25
LOC100578347,uncharacterized LOC100578347,0 vs 6; 0 vs 8,0.73,1.07,1.24,1.42,0.34,0.52,0.69,0.18,0.35,-0.39
LOC551552,xaa-Pro dipeptidase,0 vs 6; 0 vs 8,0.08,0.14,0.28,0.31,0.06,0.2,0.23,0.14,0.17,-0.07
LOC412384,BTB/POZ domain-containing protein 9,0 vs 6; 0 vs 8,0.2,0.25,0.25,0.31,0.05,0.05,0.11,0.01,0.07,-0.05
LOC410154,uncharacterized LOC410154,0 vs 6; 0 vs 8,-0.5,-0.52,-0.33,-0.07,-0.03,0.17,0.43,0.19,0.45,-0.17
LOC107965608,uncharacterized LOC107965608,0 vs 6; 0 vs 8,3,4.66,7.22,7.37,1.66,4.22,4.36,2.56,2.71,-4.38
LOC410304,zinc finger homeobox protein 4,0 vs 6; 0 vs 8,-0.13,-0.26,-0.55,-0.9,-0.13,-0.42,-0.77,-0.29,-0.64,0.14
LOC725082,uncharacterized LOC725082,0 vs 6; 0 vs 8,0.83,1.46,2.09,2.08,0.63,1.26,1.25,0.63,0.62,-1.1
LOC726377,eclosion hormone,0 vs 6; 0 vs 8,-0.75,-0.55,-0.74,-0.95,0.2,0.01,-0.2,-0.19,-0.41,-0.13
LOC727266,uncharacterized LOC727266,0 vs 6; 0 vs 8,-0.03,0.09,0.09,0.17,0.12,0.12,0.2,-0,0.08,0.04
LOC725823,uncharacterized LOC725823,0 vs 6; 0 vs 8,1.42,2.77,4.59,4.88,1.35,3.16,3.46,1.81,2.11,-2.92
LOC551502,atrial natriuretic peptide-converting enzyme,0 vs 6; 0 vs 8,0.68,1.39,2.26,2.3,0.71,1.58,1.63,0.87,0.92,-1.41
LOC551913,protein CREG1,0 vs 6; 0 vs 8,0.05,0.34,0.46,0.51,0.29,0.41,0.46,0.12,0.17,-0.35
LOC100578703,uncharacterized LOC100578703,0 vs 6; 0 vs 8,0.53,1.06,1.65,1.79,0.54,1.12,1.27,0.59,0.73,-1.13
LOC100576738,uncharacterized LOC100576738,0 vs 6; 0 vs 8,0.53,1.24,1.29,1.47,0.72,0.76,0.94,0.04,0.22,-0.44
LOC726229,uncharacterized LOC726229,0 vs 6; 0 vs 8,4.46,5.5,9.24,10.69,1.04,4.78,6.23,3.73,5.19,-5.27
LOC100578102,ankyrin repeat domain 50,0 vs 6; 0 vs 8,-0.12,-0.26,-0.3,-0.46,-0.13,-0.18,-0.33,-0.05,-0.2,0.16
LOC552075,saccharopine dehydrogenase-like oxidoreductase,0 vs 6; 0 vs 8,0.12,0.27,0.26,0.4,0.15,0.13,0.27,-0.01,0.12,-0.14
LOC410865,uncharacterized LOC410865,0 vs 6; 0 vs 8,-0.22,-0.39,-0.43,-0.44,-0.17,-0.22,-0.22,-0.05,-0.05,0.07
LOC551973,cleavage and polyadenylation specificity factor subunit CG7185,0 vs 6; 0 vs 8,-0.38,-0.43,-0.72,-0.85,-0.05,-0.34,-0.47,-0.29,-0.42,0.46
LOC551130,protein tincar,0 vs 6; 0 vs 8,-0.24,-0.32,-0.5,-0.57,-0.08,-0.26,-0.33,-0.18,-0.25,0.17
LOC726268,uncharacterized LOC726268,0 vs 6; 0 vs 8,-0.18,-0.12,-0.27,-0.14,0.06,-0.09,0.04,-0.15,-0.02,0.03
LOC724446,ragulator complex protein LAMTOR2,0 vs 6; 0 vs 8,0.05,0.22,0.19,0.12,0.17,0.14,0.07,-0.03,-0.1,-0
LOC726585,dihydroceramide fatty acyl 2-hydroxylase FAH2,0 vs 6; 0 vs 8,0.24,0.38,0.76,0.71,0.14,0.52,0.47,0.38,0.33,-0.58
LOC102656798,uncharacterized LOC102656798,0 vs 6; 0 vs 8,0.61,0.8,1.52,1.64,0.19,0.91,1.03,0.72,0.84,-0.77
LOC550687,"aldehyde dehydrogenase, mitochondrial",0 vs 6; 0 vs 8,0.21,0.3,0.41,0.39,0.09,0.2,0.18,0.11,0.09,-0.23
LOC102656464,uncharacterized LOC102656464,0 vs 6; 0 vs 8,0.63,0.5,1.05,1.15,-0.13,0.42,0.52,0.55,0.65,-0.53
LOC100577408,leukocyte elastase inhibitor,0 vs 6; 0 vs 8,-0.18,-0.46,-0.35,-0.4,-0.28,-0.17,-0.22,0.11,0.06,-0.17
LOC726044,unconventional myosin-XVIIIa,0 vs 6; 0 vs 8,0.44,0.77,1.37,1.43,0.33,0.93,0.99,0.6,0.66,-0.83
LOC102656070,uncharacterized LOC102656070,0 vs 6; 0 vs 8,0.59,0.8,1.03,1.18,0.22,0.45,0.6,0.23,0.38,-0.41
LOC726724,transient receptor potential channel pyrexia,0 vs 6; 0 vs 8,0.42,0.63,0.93,0.98,0.21,0.51,0.56,0.3,0.35,-0.42
LOC102656088,uncharacterized LOC102656088,0 vs 6; 0 vs 8,0.42,0.34,0.54,0.89,-0.08,0.12,0.48,0.2,0.56,-0.15
LOC724760,G-protein coupled receptor Mth2,0 vs 6; 0 vs 8,-0.32,-0.17,-0.2,-0.51,0.15,0.12,-0.19,-0.04,-0.35,-0.09
LOC408559,retinal dehydrogenase 1,0 vs 6; 0 vs 8,0.17,0.28,0.4,0.67,0.11,0.24,0.5,0.12,0.39,-0.24
LOC410581,uncharacterized LOC410581,0 vs 6; 0 vs 8,1.78,3.23,4.11,3.94,1.45,2.33,2.16,0.88,0.71,-2.1
LOC102655045,uncharacterized LOC102655045,0 vs 6; 0 vs 8,1.04,0.6,0.77,0.49,-0.44,-0.28,-0.55,0.16,-0.11,0.28
LOC552418,cytochrome P450 6k1,0 vs 6; 0 vs 8,-0.35,-0.77,-0.71,-0.29,-0.42,-0.36,0.06,0.06,0.49,0.22
LOC409827,serine proteinase stubble,0 vs 6; 0 vs 8,0.57,1.35,2.06,2.17,0.78,1.48,1.59,0.71,0.81,-1.34
LOC724407,uncharacterized LOC724407,0 vs 6; 0 vs 8,0.02,0,0.14,0.39,-0.01,0.12,0.38,0.14,0.39,0.01
LOC726165,fork head domain transcription factor slp1,0 vs 6; 0 vs 8,0.71,1.16,1,0.84,0.45,0.28,0.13,-0.17,-0.32,-0.3
LOC408510,uncharacterized LOC408510,0 vs 6; 0 vs 8,1.4,2.62,3.89,4.1,1.22,2.49,2.7,1.27,1.48,-2.17
LOC410896,arrestin domain-containing protein 4,0 vs 6; 0 vs 8,0.37,0.48,0.93,1.17,0.1,0.56,0.8,0.45,0.69,-0.57
LOC724188,protein transport protein Sec61 subunit beta,0 vs 6; 0 vs 8,0.11,0.02,0.09,0.34,-0.09,-0.02,0.23,0.07,0.32,0.07
LOC409826,proteoglycan 4,0 vs 6; 0 vs 8,2.32,3.78,5.89,6.25,1.46,3.57,3.94,2.11,2.47,-3.67
Dnmt1a,DNA methyltransferase 1a,0 vs 6; 0 vs 8,-0.72,-0.71,-0.98,-1.29,0.01,-0.26,-0.57,-0.27,-0.57,0.46
LOC552177,uncharacterized LOC552177,0 vs 6; 0 vs 8,-0.18,-0.25,-0.24,-0.59,-0.07,-0.06,-0.41,0.01,-0.34,-0.13
LOC551263,monocarboxylate transporter 13,0 vs 6; 0 vs 8,-1.09,-1.02,-1.46,-2.19,0.07,-0.38,-1.1,-0.44,-1.17,0.5
LOC413382,SAM and SH3 domain-containing protein 1,0 vs 6; 0 vs 8,-0.14,-0.28,-0.52,-0.66,-0.14,-0.37,-0.52,-0.23,-0.38,0.22
LOC100578276,uncharacterized LOC100578276,0 vs 6; 0 vs 8,-0.36,-0.61,-1.11,-1.01,-0.25,-0.74,-0.65,-0.5,-0.41,0.48
CPR19,cuticular protein 19,0 vs 6; 0 vs 8,-0.32,-0.62,-1.13,-1.67,-0.3,-0.82,-1.35,-0.51,-1.05,0.74
LOC725462,vesicular glutamate transporter 2.1,0 vs 6; 0 vs 8,0.89,1.1,2.06,2.22,0.21,1.17,1.33,0.96,1.12,-1.09
LOC409624,acetyl-coenzyme A synthetase,0 vs 6; 0 vs 8,0.03,-0.3,-0.18,-0.21,-0.33,-0.21,-0.24,0.11,0.09,-0
LOC724311,AT-rich interactive domain-containing protein 2,0 vs 6; 0 vs 8,-0.12,-0.13,-0.23,-0.48,-0.01,-0.11,-0.35,-0.09,-0.34,0.13
LOC107965199,UDP-glucuronosyltransferase 1-1,0 vs 6; 0 vs 8,-0.09,-0.03,-0.06,-0.1,0.05,0.02,-0.01,-0.03,-0.07,-0.52
LOC412670,probable phosphoserine aminotransferase,0 vs 6; 0 vs 8,0.04,0.19,0.42,0.59,0.16,0.39,0.55,0.23,0.39,-0.37
LOC100578106,uncharacterized LOC100578106,0 vs 6; 0 vs 8,-0.65,-1.19,-1.12,-1.62,-0.55,-0.47,-0.97,0.07,-0.42,0.56
LOC413560,uncharacterized LOC413560,0 vs 6; 0 vs 8,0.94,1.66,2.8,3.08,0.73,1.86,2.14,1.13,1.42,-1.7
LOC100576994,uncharacterized LOC100576994,0 vs 6; 0 vs 8,-0.4,-0.92,-1.02,-0.6,-0.51,-0.61,-0.19,-0.1,0.32,0.55
LOC113219110,uncharacterized LOC113219110,0 vs 6; 0 vs 8,2.09,4.22,5.65,5.02,2.13,3.56,2.94,1.43,0.81,-2.92
LOC411665,heparan sulfate 2-O-sulfotransferase pipe,0 vs 6; 0 vs 8,0.24,0.8,1.32,1.35,0.57,1.09,1.11,0.52,0.55,-0.92
LOC726761,paired box protein Pax-5,0 vs 6; 0 vs 8,-0.36,-0.52,-1.12,-0.6,-0.16,-0.76,-0.25,-0.6,-0.09,0.38
LOC724645,uncharacterized LOC724645,0 vs 6; 0 vs 8,1.25,2.31,2.79,2.73,1.06,1.54,1.48,0.48,0.42,-1.42
LOC552005,uncharacterized LOC552005,0 vs 6; 0 vs 8,0.64,1.11,1.92,2.2,0.48,1.28,1.56,0.81,1.09,-1.04
LOC100576614,probable ATP-dependent RNA helicase ddx42,0 vs 6; 0 vs 8,0.33,0.43,0.51,0.33,0.1,0.18,0,0.08,-0.1,-0.08
LOC726648,fas apoptotic inhibitory molecule 1,0 vs 6; 0 vs 8,1.01,1.58,1.77,1.31,0.57,0.76,0.31,0.19,-0.26,-0.64
LOC724563,uncharacterized LOC724563,0 vs 6; 0 vs 8,0.95,1.74,2.86,2.9,0.79,1.91,1.94,1.12,1.16,-1.91
LOC724838,uncharacterized LOC724838,0 vs 6; 0 vs 8,0.45,0.99,1.42,1.67,0.53,0.97,1.22,0.44,0.68,-0.81
LOC408650,inositol oxygenase,0 vs 6; 0 vs 8,0.72,2.3,3.26,3.62,1.58,2.54,2.9,0.96,1.32,-2.55
LOC409293,uncharacterized LOC409293,0 vs 6; 0 vs 8,1.44,1.5,1.48,1.54,0.06,0.04,0.1,-0.02,0.03,-0.35
LOC726391,carboxypeptidase B,0 vs 6; 0 vs 8,0.76,1.57,2.09,2.09,0.81,1.33,1.34,0.52,0.53,-1.04
LOC551149,myosin-2 essential light chain,0 vs 6; 0 vs 8,0.11,0.2,0.4,0.67,0.1,0.3,0.57,0.2,0.47,-0.28
LOC412979,dual specificity protein phosphatase MPK-4,0 vs 6; 0 vs 8,0.17,0.26,0.23,0.29,0.09,0.06,0.12,-0.03,0.04,0.03
LOC725225,ninjurin-2,0 vs 6; 0 vs 8,0.48,0.65,0.75,1,0.17,0.26,0.51,0.1,0.35,-0.23
LOC412829,arylsulfatase B,0 vs 6; 0 vs 8,0.77,2.08,3.02,2.79,1.32,2.25,2.02,0.94,0.71,-1.69
LOC551372,uncharacterized LOC551372,0 vs 6; 0 vs 8,0.2,0.38,0.46,0.58,0.18,0.25,0.38,0.07,0.2,-0.04
LOC551344,probable chitinase 2,0 vs 6; 0 vs 8,0.05,0.18,0.3,0.37,0.13,0.25,0.32,0.13,0.19,-0.16
LOC411613,buffy,0 vs 6; 0 vs 8,0.53,0.66,1.22,1.24,0.14,0.69,0.72,0.56,0.58,-0.8
LOC724835,uncharacterized LOC724835,0 vs 6; 0 vs 8,-0.57,-0.19,-0.66,-0.68,0.38,-0.09,-0.11,-0.47,-0.49,0.22
LOC410838,ubiquitin-conjugating enzyme E2 R2,0 vs 6; 0 vs 8,0.21,0.47,0.58,0.72,0.26,0.37,0.51,0.11,0.25,-0.34
LOC726823,pyrimidodiazepine synthase,0 vs 6; 0 vs 8,-0.09,-0.03,0.11,0.29,0.06,0.2,0.37,0.14,0.31,-0.02
LOC102654161,uncharacterized LOC102654161,0 vs 6; 0 vs 8,0.83,1.05,1.88,1.8,0.22,1.05,0.96,0.83,0.74,-0.92
LOC551650,syntenin-1,0 vs 6; 0 vs 8,0.26,0.3,0.49,0.57,0.04,0.23,0.31,0.19,0.27,-0.25
LOC100576740,uncharacterized LOC100576740,0 vs 6; 0 vs 8,1.1,1.87,3.55,4.07,0.77,2.45,2.98,1.68,2.2,-2.4
LOC100578957,uncharacterized LOC100578957,0 vs 6; 0 vs 8,-0.06,-0.31,-0.42,-0.78,-0.25,-0.36,-0.72,-0.1,-0.47,-0.23
LOC412020,peroxisomal acyl-coenzyme A oxidase 3,0 vs 6; 0 vs 8,0.08,0.01,0.24,0.34,-0.07,0.16,0.26,0.23,0.33,-0.12
LOC100576919,uncharacterized LOC100576919,0 vs 6; 0 vs 8,0.72,1.1,1.71,1.33,0.38,1,0.62,0.62,0.24,-0.92
LOC413532,phospholipase A1,0 vs 6; 0 vs 8,0.24,1.17,1.05,1.45,0.93,0.81,1.21,-0.12,0.27,-0.5
LOC726250,cilia- and flagella-associated protein 43-like,0 vs 6; 0 vs 8,0.42,0.91,1.58,2.16,0.49,1.16,1.73,0.67,1.25,-1.01
LOC100577810,uncharacterized LOC100577810,0 vs 6; 0 vs 8,0.96,1.27,1.62,1.61,0.31,0.66,0.65,0.35,0.34,-0.76
LOC102656563,uncharacterized LOC102656563,0 vs 6; 0 vs 8,0.91,1.81,2.44,2.1,0.89,1.53,1.19,0.63,0.29,-1.29
LOC410733,"glucose dehydrogenase [FAD, quinone]",0 vs 6; 0 vs 8,0.17,0.47,0.85,1.16,0.3,0.68,0.98,0.38,0.69,-0.53
LOC411188,L-lactate dehydrogenase,0 vs 6; 0 vs 8,-0.06,-0.04,0.29,0.81,0.02,0.36,0.87,0.34,0.85,-0.68
LOC413489,deoxyribonuclease-2-alpha,0 vs 6; 0 vs 8,0.09,0.49,0.7,0.61,0.39,0.6,0.51,0.21,0.12,-0.23
LOC410975,uncharacterized LOC410975,0 vs 6; 0 vs 8,0.49,1.16,1.51,1.45,0.67,1.01,0.95,0.35,0.29,-0.72
LOC724408,ras-related GTP-binding protein A,0 vs 6; 0 vs 8,-0.09,-0.05,0.06,0.2,0.04,0.14,0.29,0.1,0.25,0.05
LOC413427,uncharacterized LOC413427,0 vs 6; 0 vs 8,-0.37,-0.28,-0.62,-0.63,0.1,-0.25,-0.26,-0.34,-0.35,0.31
LOC100576253,DNA ligase 1,0 vs 6; 0 vs 8,0.14,0.55,0.86,0.9,0.41,0.71,0.75,0.3,0.34,-0.57
LOC726786,proton-coupled amino acid transporter 1,0 vs 8; 2 vs 8,-0.24,-0.33,-0.61,-0.42,-0.1,-0.37,-0.19,-0.27,-0.09,0.18
Gfat2,glucosamine-fructose-6-phosphate aminotransferase 2,0 vs 8; 2 vs 8,0.15,0.33,0.71,0.87,0.18,0.56,0.72,0.38,0.54,-0.57
LOC551197,probable cytochrome P450 6a13,0 vs 8; 2 vs 8,0.4,0.76,1.08,1.44,0.36,0.68,1.04,0.32,0.68,-0.72
LOC413369,uncharacterized LOC413369,0 vs 8; 2 vs 8,0.24,0.44,1.09,1.23,0.2,0.86,0.99,0.65,0.79,-0.82
LOC551964,UDP-N-acetylhexosamine pyrophosphorylase,0 vs 8; 2 vs 8,-0.09,0.01,0.26,0.38,0.09,0.35,0.47,0.26,0.38,-0.25
LOC724568,calpain-C,0 vs 8; 2 vs 8,0.4,0.74,1.25,1.57,0.34,0.85,1.17,0.51,0.82,-0.97
LOC552113,long-chain fatty acid transport protein 4,0 vs 8; 2 vs 8,0.15,0.4,0.71,0.76,0.25,0.56,0.61,0.31,0.36,-0.67
LOC413024,carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein-like,0 vs 8; 2 vs 8,-0.15,-0.05,-0.57,-0.58,0.1,-0.42,-0.44,-0.52,-0.54,0.48
LOC410526,serine protease 42,0 vs 8; 2 vs 8,2.56,1.73,5.08,6.95,-0.82,2.52,4.39,3.34,5.21,-4.28
LOC551435,protein disulfide-isomerase,0 vs 8; 2 vs 8,-0.03,-0.02,0.07,0.08,0.01,0.1,0.11,0.09,0.1,-0.08
LOC113218725,uncharacterized LOC113218725,0 vs 8; 2 vs 8,-0.44,-0.85,-1.34,-1.66,-0.41,-0.9,-1.23,-0.5,-0.82,0.84
LOC100577362,uncharacterized LOC100577362,0 vs 8; 2 vs 8,-0.95,-1,-1.5,-1.49,-0.05,-0.55,-0.54,-0.5,-0.49,1.15
